"Relative Time (Process)","DQN8 - _step","DQN8 - _step__MIN","DQN8 - _step__MAX","DQN8 - rewards_per_sequence","DQN8 - rewards_per_sequence__MIN","DQN8 - rewards_per_sequence__MAX"
"2413.962677282","56873","56873","56873","-3.52","-3.52","-3.52"
"2425.447759654","57087","57087","57087","-3.52","-3.52","-3.52"
"2437.674208554","57313","57313","57313","-3.52","-3.52","-3.52"
"2449.083823232","57539","57539","57539","-3.52","-3.52","-3.52"
"2460.466626244","57765","57765","57765","-3.52","-3.52","-3.52"
"2472.070703172","57991","57991","57991","-3.52","-3.52","-3.52"
"2483.430403021","58217","58217","58217","-3.52","-3.52","-3.52"
"2494.808291231","58443","58443","58443","-3.52","-3.52","-3.52"
"2505.839123888","58663","58663","58663","-3.52","-3.52","-3.52"
"2517.282861441","58889","58889","58889","-3.52","-3.52","-3.52"
"2528.451126546","59115","59115","59115","-3.52","-3.52","-3.52"
"2539.64615246","59341","59341","59341","-3.52","-3.52","-3.52"
"2551.187591141","59561","59561","59561","-3.52","-3.52","-3.52"
"2562.810798388","59787","59787","59787","-3.52","-3.52","-3.52"
"2574.264080676","60013","60013","60013","-3.52","-3.52","-3.52"
"2585.811529382","60239","60239","60239","-3.52","-3.52","-3.52"
"2598.006475673","60477","60477","60477","-3.52","-3.52","-3.52"
"2609.844851431","60697","60697","60697","-3.52","-3.52","-3.52"
"2621.623700604","60923","60923","60923","-3.52","-3.52","-3.52"
"2633.360741125","61149","61149","61149","-3.52","-3.52","-3.52"
"2644.6511799","61375","61375","61375","-3.52","-3.52","-3.52"
"2656.033325259","61601","61601","61601","-3.52","-3.52","-3.52"
"2667.362088085","61821","61821","61821","-3.52","-3.52","-3.52"
"2678.917944329","62047","62047","62047","-3.52","-3.52","-3.52"
"2690.427909115","62267","62267","62267","-4.82","-4.82","-4.82"
"2703.178397179","62493","62493","62493","-3.52","-3.52","-3.52"
"2715.505909401","62719","62719","62719","-3.52","-3.52","-3.52"
"2728.598794076","62951","62951","62951","-3.52","-3.52","-3.52"
"2741.073177253","63171","63171","63171","-3.52","-3.52","-3.52"
"2753.484146111","63397","63397","63397","-3.52","-3.52","-3.52"
"2765.469737066","63623","63623","63623","-3.52","-3.52","-3.52"
"2777.33690011","63849","63849","63849","-3.52","-3.52","-3.52"
"2789.454095865","64063","64063","64063","-3.52","-3.52","-3.52"
"2801.701681195","64283","64283","64283","-3.52","-3.52","-3.52"
"2814.180779626","64503","64503","64503","-3.52","-3.52","-3.52"
"2826.221528166","64729","64729","64729","-3.52","-3.52","-3.52"
"2838.362962919","64949","64949","64949","-3.52","-3.52","-3.52"
"2850.831383388","65175","65175","65175","-3.52","-3.52","-3.52"
"2863.34984572","65395","65395","65395","-3.52","-3.52","-3.52"
"2875.962534921","65615","65615","65615","-3.52","-3.52","-3.52"
"2890.408365055","65835","65835","65835","-3.52","-3.52","-3.52"
"3162.56689203","66061","66061","66061","-3.52","-3.52","-3.52"
